n,beta_treatment,error_type,n_reps,bias_mean,bias_sd,cover_wald,cover_perc,cover_t,se_mean,se_sd,time_wald_mean,time_perc_mean,time_boot_t_mean
10,0,heavy,471,-0.018979282194868583,0.9445529747033652,0.9278131634819533,0.8492569002123143,NA,0.8396650924652053,0.43996372047931415,0.001093418259022963,0.36504458598726025,36.99226539278132
10,0.5,heavy,470,-0.05777758881910709,0.8945266599269684,0.9319148936170213,0.8893617021276595,NA,0.842355889343828,0.48076437215548223,0.0010085106382990594,0.36736808510638197,37.580734042553196
10,2,heavy,469,-0.03291534489061615,1.0232667774262012,0.9275053304904052,0.8443496801705757,NA,0.8598833377827173,0.4843839080562021,9.978678038413842e-4,0.3610660980810197,37.792411513859285
50,0,heavy,471,0.02683343727081076,0.3830310174376284,0.9384288747346072,0.9256900212314225,0.9384288747346072,0.3694401158269571,0.09844005098259907,9.83014861999542e-4,0.38088110403396885,38.89636518046709
50,0.5,heavy,470,0.015364299697428894,0.4035877498520958,0.9638297872340426,0.9531914893617022,0.9319148936170213,0.38737535297864634,0.1257559572456631,9.489361702141523e-4,0.37914042553191374,39.217778723404265
50,2,heavy,469,-0.019024967766421826,0.38840264649435663,0.9573560767590619,0.9445628997867803,0.9339019189765458,0.3827900873882936,0.1075267218064504,9.658848614079225e-4,0.36910447761194054,38.325223880597015
500,0,heavy,471,-0.0025462000733400087,0.1253710707462075,0.9554140127388534,0.9511677282377919,0.9511677282377919,0.12484544540152809,0.0318198699092125,0.0010679405520168342,0.4822972399150745,48.81713800424629
500,0.5,heavy,470,-0.004672843563638075,0.13031321186412814,0.948936170212766,0.9361702127659575,0.9361702127659575,0.12729581284477626,0.034005518719896544,0.001142553191490161,0.4794191489361715,49.18017021276596
500,2,heavy,469,-0.001726567836648943,0.13260745071586494,0.9509594882729211,0.9402985074626866,0.9424307036247335,0.12555527083851198,0.027630287381109266,0.0011066098080989631,0.47902345415778474,46.87216204690832
10,0,normal,474,-0.025087583568627607,0.9626032297588956,0.9219409282700421,0.8586497890295359,NA,0.9270427106042747,0.2433368398092533,0.003639240506329116,0.383331223628692,36.41264978902954
10,0.5,normal,472,0.009630537208013969,0.9534142282838867,0.9173728813559322,0.8728813559322035,NA,0.9100446995584234,0.2476423278887569,9.97881355931188e-4,0.38090466101695003,37.63954237288136
10,2,normal,472,-0.015692243333960083,0.96557693955232,0.9088983050847459,0.8601694915254237,NA,0.9142405603667166,0.23887219212135635,9.406779661016702e-4,0.3739449152542375,37.051190677966105
50,0,normal,474,0.017761867880803382,0.4276876583804615,0.9303797468354431,0.9198312236286921,0.9388185654008439,0.3999460324855069,0.0418897810405786,0.0012784810126583062,0.36679746835443017,38.15266666666667
50,0.5,normal,472,4.1748646357106696e-4,0.4018971082124843,0.9470338983050848,0.9470338983050848,0.9512711864406778,0.40183823845721917,0.03989138420860865,0.0023156779661012215,0.40850847457627165,38.219493644067796
50,2,normal,472,-0.013177985097224829,0.4026128184660964,0.9322033898305084,0.9385593220338984,0.9449152542372882,0.40349045224088126,0.04195393316163086,9.576271186429196e-4,0.3824385593220353,38.91698093220339
500,0,normal,474,-0.013278701755964569,0.1281999888862991,0.9472573839662447,0.9514767932489452,0.9472573839662447,0.12681209747131653,0.0043198320755106785,0.0010590717299573463,0.4826856540084394,48.84660548523207
500,0.5,normal,472,0.007384843643048882,0.13261587853652348,0.9364406779661016,0.9385593220338984,0.9279661016949152,0.1267929421096129,0.004076956194731912,0.0013750000000001832,0.5019491525423732,50.383927966101695
500,2,normal,472,-0.0043388536585322246,0.1363709387753285,0.9279661016949152,0.9279661016949152,0.9385593220338984,0.126602036123647,0.003942915310060263,0.0010932203389838145,0.50229661016949,49.29086440677966
